transcript_name	Gene_name	RAL-802-Challenged
NM_001007095	CG42637	3.502
NM_001007096	CG42637	3.540
NM_001014453	PNUTS	4.788
NM_001014454	PNUTS	4.963
NM_001014455	PNUTS	4.966
NM_001014460	l(2)s5379	6.148
NM_001014461	CG9967	0.749
NM_001014462	Rbp9	1.059
NM_001014463	tim	6.067
NM_001014464	for	4.517
NM_001014467	qtc	4.400
NM_001014468	qtc	4.310
NM_001014469	qtc	4.315
NM_001014475	nrv2	0.642
NM_001014476	nrv2	0.900
NM_001014477	ade3	1.296
NM_001014478	Rapgap1	3.285
NM_001014479	Rapgap1	3.565
NM_001014481	kuz	0.819
NM_001014484	CG15279	1.728
NM_001014489	lectin-37Da	8.285
NM_001014490	lectin-37Db	8.019
NM_001014491	ref(2)P	7.759
NM_001014492	CG33511	2.872
NM_001014493	CG33510	3.649
NM_001014497	CG2225	-1.246
NM_001014498	CG1832	4.055
NM_001014499	Nipped-A	0.659
NM_001014500	mim	1.175
NM_001014503	lig	3.933
NM_001014504	CG30372	4.757
NM_001014505	coil	2.795
NM_001014506	coil	2.716
NM_001014507	Acsl	5.709
NM_001014508	Acsl	5.509
NM_001014509	Acsl	5.634
NM_001014510	Acsl	5.685
NM_001014511	Acsl	5.523
NM_001014512	Acsl	5.679
NM_001014513	stmA	4.422
NM_001014515	14-3-3zeta	8.291
NM_001014516	14-3-3zeta	8.450
NM_001014518	psq	1.759
NM_001014519	psq	1.681
NM_001014520	psq	1.557
NM_001014523	cnn	3.294
NM_001014524	Vmat	0.028
NM_001014525	Vmat	-0.175
NM_001014526	Vmat	-1.409
NM_001014527	Asx	1.566
NM_001014528	CG33506	3.219
NM_001014529	U3-55K	1.916
NM_001014535	CG15117	5.077
NM_001014536	ena	3.601
NM_001014537	ena	3.516
NM_001014538	CG10737	3.851
NM_001014539	par-1	2.720
NM_001014540	par-1	4.808
NM_001014542	par-1	4.859
NM_001014545	Unc-89	0.979
NM_001014546	CG4065	2.793
NM_001014547	Nop60B	4.196
NM_001014549	slik	4.910
NM_001014551	RpL41	10.303
NM_001014552	zip	6.394
NM_001014553	zip	6.406
NM_001014556	armi	2.242
NM_001014558	CG33514	4.908
NM_001014560	DopEcR	-1.297
NM_001014561	Src64B	0.078
NM_001014562	Src64B	0.145
NM_001014563	Src64B	0.007
NM_001014564	Src64B	0.103
NM_001014565	vn	0.300
NM_001014566	CG33523	5.393
NM_001014567	CG33523	5.348
NM_001014568	CG33523	5.394
NM_001014569	CG33523	5.332
NM_001014571	form3	0.812
NM_001014572	melt	4.242
NM_001014574	Clk	2.216
NM_001014576	Clk	2.231
NM_001014577	h	5.333
NM_001014579	Dhpr	3.632
NM_001014580	Dhpr	3.411
NM_001014581	GlcAT-P	0.854
NM_001014583	btl	-0.262
NM_001014584	RecQ5	1.054
NM_001014585	Dcp2	1.910
NM_001014586	fax	1.052
NM_001014587	fax	1.452
NM_001014588	tra	3.575
NM_001014589	scaf6	3.904
NM_001014590	Eip74EF	1.746
NM_001014591	Mi-2	3.666
NM_001014593	Pka-R1	3.596
NM_001014594	Pka-R1	3.762
NM_001014595	Pka-R1	3.515
NM_001014596	Pka-R1	3.557
NM_001014597	Pka-R1	3.533
NM_001014598	Pka-R1	3.421
NM_001014600	CG14457	3.317
NM_001014601	jim	3.408
NM_001014604	CG9795	2.535
NM_001014605	Gnf1	2.046
NM_001014606	CG1161	4.409
NM_001014607	CG14667	3.093
NM_001014608	7B2	1.083
NM_001014609	gfzf	2.162
NM_001014610	gfzf	2.339
NM_001014611	bocksbeutel	4.353
NM_001014612	CG8481	3.906
NM_001014613	hth	0.369
NM_001014614	pug	3.125
NM_001014617	CtBP	4.389
NM_001014619	B52	5.866
NM_001014621	trx	0.919
NM_001014623	btsz	3.265
NM_001014624	btsz	2.643
NM_001014625	btsz	1.664
NM_001014626	gish	5.296
NM_001014627	gish	5.691
NM_001014628	gish	4.981
NM_001014629	Dad	3.885
NM_001014631	cpo	-0.804
NM_001014632	cpo	-0.144
NM_001014633	Rpb4	2.165
NM_001014634	Rpb4	1.854
NM_001014635	Rpb4	1.818
NM_001014636	Rpb4	1.759
NM_001014637	Rpb4	1.912
NM_001014643	Stat92E	6.031
NM_001014644	CG7956	2.342
NM_001014646	CG33111	3.690
NM_001014647	jar	6.648
NM_001014648	jar	6.694
NM_001014649	jar	6.578
NM_001014650	jar	6.597
NM_001014651	slo	0.869
NM_001014652	slo	0.874
NM_001014653	slo	0.883
NM_001014654	slo	0.889
NM_001014655	slo	0.823
NM_001014656	slo	0.900
NM_001014657	slo	0.912
NM_001014658	slo	0.906
NM_001014659	slo	0.878
NM_001014660	slo	0.877
NM_001014661	slo	0.765
NM_001014662	slo	0.898
NM_001014663	slo	0.898
NM_001014664	slo	0.894
NM_001014665	Ssadh	6.024
NM_001014666	Ssadh	6.037
NM_001014667	Ssadh	6.029
NM_001014668	Nf1	-0.351
NM_001014669	scrib	5.189
NM_001014670	scrib	5.198
NM_001014671	Rb97D	3.166
NM_001014672	Rb97D	3.184
NM_001014673	Rb97D	3.160
NM_001014674	Rb97D	3.193
NM_001014675	Rb97D	3.198
NM_001014676	Rb97D	3.246
NM_001014677	Rb97D	3.187
NM_001014678	Doa	4.515
NM_001014679	Doa	4.204
NM_001014680	Doa	4.675
NM_001014681	Doa	3.260
NM_001014682	Doa	4.779
NM_001014684	Mgat2	1.256
NM_001014685	pan	1.805
NM_001014687	PMCA	3.843
NM_001014688	PMCA	3.917
NM_001014689	PMCA	4.013
NM_001014691	gw	4.757
NM_001014696	CaMKII	3.161
NM_001014702	CG33521	2.433
NM_001014703	CG33521	2.639
NM_001014705	CG33521	2.577
NM_001014707	ewg	1.671
NM_001014708	ewg	1.690
NM_001014709	ewg	1.481
NM_001014710	ewg	1.462
NM_001014711	ewg	1.497
NM_001014712	ewg	1.605
NM_001014720	norpA	1.635
NM_001014721	norpA	1.990
NM_001014722	peb	5.018
NM_001014723	Proc-R	-0.399
NM_001014724	Proc-R	-0.298
NM_001014725	Act5C	9.902
NM_001014726	Act5C	9.683
NM_001014728	l(1)G0232	4.203
NM_001014729	l(1)G0232	5.011
NM_001014731	CkIIbeta	4.363
NM_001014736	HDAC4	2.469
NM_001014737	up	6.514
NM_001014738	up	6.549
NM_001014739	up	6.560
NM_001014740	rdgB	0.184
NM_001014741	rdgB	0.890
NM_001014742	Top1	3.361
NM_001014745	Ac13E	1.788
NM_001014746	CG32576	2.285
NM_001014747	nonA	3.124
NM_001014750	mnb	2.542
NM_001014752	CoRest	2.643
NM_001014753	CoRest	2.600
