transcript_name	Gene_name	RAL-208-Unchallenged
NM_001007095	CG42637	3.570
NM_001007096	CG42637	3.612
NM_001014453	PNUTS	3.353
NM_001014454	PNUTS	4.178
NM_001014455	PNUTS	4.238
NM_001014460	l(2)s5379	5.444
NM_001014461	CG9967	1.337
NM_001014462	Rbp9	1.180
NM_001014463	tim	2.811
NM_001014464	for	3.760
NM_001014467	qtc	3.146
NM_001014468	qtc	3.064
NM_001014469	qtc	3.083
NM_001014475	nrv2	1.884
NM_001014476	nrv2	2.115
NM_001014477	ade3	1.905
NM_001014478	Rapgap1	0.735
NM_001014479	Rapgap1	1.017
NM_001014481	kuz	-0.187
NM_001014484	CG15279	2.825
NM_001014489	lectin-37Da	6.070
NM_001014490	lectin-37Db	8.328
NM_001014491	ref(2)P	6.511
NM_001014492	CG33511	1.791
NM_001014493	CG33510	3.761
NM_001014497	CG2225	-0.300
NM_001014498	CG1832	3.236
NM_001014499	Nipped-A	0.578
NM_001014500	mim	2.312
NM_001014503	lig	3.752
NM_001014504	CG30372	3.095
NM_001014505	coil	2.705
NM_001014506	coil	2.635
NM_001014507	Acsl	6.661
NM_001014508	Acsl	6.458
NM_001014509	Acsl	6.586
NM_001014510	Acsl	6.638
NM_001014511	Acsl	6.472
NM_001014512	Acsl	6.632
NM_001014513	stmA	3.624
NM_001014515	14-3-3zeta	8.291
NM_001014516	14-3-3zeta	8.513
NM_001014518	psq	1.558
NM_001014519	psq	1.483
NM_001014520	psq	1.321
NM_001014523	cnn	0.587
NM_001014524	Vmat	1.077
NM_001014525	Vmat	0.951
NM_001014526	Vmat	-0.371
NM_001014527	Asx	0.838
NM_001014528	CG33506	3.284
NM_001014529	U3-55K	1.586
NM_001014535	CG15117	2.433
NM_001014536	ena	1.159
NM_001014537	ena	0.996
NM_001014538	CG10737	4.157
NM_001014539	par-1	1.665
NM_001014540	par-1	4.215
NM_001014542	par-1	4.287
NM_001014545	Unc-89	1.844
NM_001014546	CG4065	2.254
NM_001014547	Nop60B	4.584
NM_001014549	slik	4.144
NM_001014551	RpL41	11.729
NM_001014552	zip	4.638
NM_001014553	zip	4.655
NM_001014556	armi	1.885
NM_001014558	CG33514	7.263
NM_001014560	DopEcR	-0.285
NM_001014561	Src64B	1.028
NM_001014562	Src64B	1.103
NM_001014563	Src64B	0.976
NM_001014564	Src64B	1.104
NM_001014565	vn	-1.111
NM_001014566	CG33523	5.031
NM_001014567	CG33523	5.046
NM_001014568	CG33523	5.083
NM_001014569	CG33523	5.072
NM_001014571	form3	1.234
NM_001014572	melt	1.542
NM_001014574	Clk	2.562
NM_001014576	Clk	2.582
NM_001014577	h	4.976
NM_001014579	Dhpr	3.834
NM_001014580	Dhpr	3.632
NM_001014581	GlcAT-P	1.997
NM_001014583	btl	0.064
NM_001014584	RecQ5	1.979
NM_001014585	Dcp2	2.310
NM_001014586	fax	1.512
NM_001014587	fax	1.912
NM_001014588	tra	3.431
NM_001014589	scaf6	2.843
NM_001014590	Eip74EF	0.689
NM_001014591	Mi-2	3.341
NM_001014593	Pka-R1	3.751
NM_001014594	Pka-R1	3.905
NM_001014595	Pka-R1	3.636
NM_001014596	Pka-R1	3.645
NM_001014597	Pka-R1	3.595
NM_001014598	Pka-R1	3.483
NM_001014600	CG14457	3.680
NM_001014601	jim	3.233
NM_001014604	CG9795	2.158
NM_001014605	Gnf1	1.679
NM_001014606	CG1161	4.800
NM_001014607	CG14667	2.410
NM_001014608	7B2	1.784
NM_001014609	gfzf	2.010
NM_001014610	gfzf	2.219
NM_001014611	bocksbeutel	3.277
NM_001014612	CG8481	4.312
NM_001014613	hth	0.803
NM_001014614	pug	4.210
NM_001014617	CtBP	4.981
NM_001014619	B52	5.415
NM_001014621	trx	0.264
NM_001014623	btsz	2.207
NM_001014624	btsz	1.673
NM_001014625	btsz	0.942
NM_001014626	gish	4.236
NM_001014627	gish	4.459
NM_001014628	gish	3.792
NM_001014629	Dad	2.526
NM_001014631	cpo	-0.173
NM_001014632	cpo	0.558
NM_001014633	Rpb4	2.178
NM_001014634	Rpb4	1.377
NM_001014635	Rpb4	1.344
NM_001014636	Rpb4	1.299
NM_001014637	Rpb4	1.422
NM_001014643	Stat92E	5.496
