transcript_name	Gene_name	RAL-486-Challenged
NM_001007095	CG42637	3.858
NM_001007096	CG42637	3.901
NM_001014453	PNUTS	4.711
NM_001014454	PNUTS	4.975
NM_001014455	PNUTS	4.985
NM_001014460	l(2)s5379	5.771
NM_001014461	CG9967	2.402
NM_001014462	Rbp9	1.003
NM_001014463	tim	3.835
NM_001014464	for	4.177
NM_001014467	qtc	3.699
NM_001014468	qtc	3.593
NM_001014469	qtc	3.635
NM_001014475	nrv2	1.138
NM_001014476	nrv2	1.341
NM_001014477	ade3	1.514
NM_001014478	Rapgap1	3.460
NM_001014479	Rapgap1	3.750
NM_001014481	kuz	0.018
NM_001014484	CG15279	2.483
NM_001014489	lectin-37Da	8.510
NM_001014490	lectin-37Db	9.083
NM_001014491	ref(2)P	7.983
NM_001014492	CG33511	2.678
NM_001014493	CG33510	3.717
NM_001014497	CG2225	-0.493
NM_001014498	CG1832	3.787
NM_001014499	Nipped-A	0.579
NM_001014500	mim	1.349
NM_001014503	lig	3.936
NM_001014504	CG30372	4.160
NM_001014505	coil	2.315
NM_001014506	coil	2.225
NM_001014507	Acsl	5.919
NM_001014508	Acsl	5.720
NM_001014509	Acsl	5.844
NM_001014510	Acsl	5.895
NM_001014511	Acsl	5.733
NM_001014512	Acsl	5.889
NM_001014513	stmA	4.248
NM_001014515	14-3-3zeta	8.469
NM_001014516	14-3-3zeta	8.623
NM_001014518	psq	1.670
NM_001014519	psq	1.587
NM_001014520	psq	1.442
NM_001014523	cnn	0.990
NM_001014524	Vmat	1.056
NM_001014525	Vmat	0.893
NM_001014526	Vmat	-0.326
NM_001014527	Asx	1.448
NM_001014528	CG33506	2.868
NM_001014529	U3-55K	1.668
NM_001014535	CG15117	4.515
NM_001014536	ena	2.572
NM_001014537	ena	2.473
NM_001014538	CG10737	4.034
NM_001014539	par-1	2.285
NM_001014540	par-1	4.660
NM_001014542	par-1	4.710
NM_001014545	Unc-89	1.857
NM_001014546	CG4065	1.941
NM_001014547	Nop60B	3.749
NM_001014549	slik	5.042
NM_001014551	RpL41	10.908
NM_001014552	zip	6.520
NM_001014553	zip	6.531
NM_001014556	armi	1.533
NM_001014558	CG33514	6.031
NM_001014560	DopEcR	-1.138
NM_001014561	Src64B	0.839
NM_001014562	Src64B	0.944
NM_001014563	Src64B	0.817
NM_001014564	Src64B	0.939
NM_001014565	vn	0.883
NM_001014566	CG33523	5.338
NM_001014567	CG33523	5.298
NM_001014568	CG33523	5.335
NM_001014569	CG33523	5.414
NM_001014571	form3	1.241
NM_001014572	melt	4.205
NM_001014574	Clk	2.381
NM_001014576	Clk	2.397
NM_001014577	h	4.548
NM_001014579	Dhpr	3.501
NM_001014580	Dhpr	3.214
NM_001014581	GlcAT-P	1.319
NM_001014583	btl	-0.358
NM_001014584	RecQ5	1.109
NM_001014585	Dcp2	2.267
NM_001014586	fax	1.824
NM_001014587	fax	2.226
NM_001014588	tra	2.832
NM_001014589	scaf6	3.365
NM_001014590	Eip74EF	1.255
NM_001014591	Mi-2	3.536
NM_001014593	Pka-R1	4.026
NM_001014594	Pka-R1	4.176
NM_001014595	Pka-R1	3.882
NM_001014596	Pka-R1	3.894
NM_001014597	Pka-R1	3.884
NM_001014598	Pka-R1	3.773
NM_001014600	CG14457	2.038
NM_001014601	jim	3.166
NM_001014604	CG9795	2.417
NM_001014605	Gnf1	1.609
NM_001014606	CG1161	4.314
NM_001014607	CG14667	2.418
NM_001014608	7B2	1.387
NM_001014609	gfzf	1.757
NM_001014610	gfzf	2.214
NM_001014611	bocksbeutel	3.891
NM_001014612	CG8481	3.829
NM_001014613	hth	0.750
NM_001014614	pug	3.038
NM_001014617	CtBP	4.582
NM_001014619	B52	5.585
NM_001014621	trx	0.694
NM_001014623	btsz	3.075
NM_001014624	btsz	2.480
NM_001014625	btsz	1.480
NM_001014626	gish	5.162
NM_001014627	gish	5.515
NM_001014628	gish	4.764
NM_001014629	Dad	3.559
NM_001014631	cpo	-0.448
NM_001014632	cpo	0.299
NM_001014633	Rpb4	1.635
NM_001014634	Rpb4	1.120
NM_001014635	Rpb4	1.083
NM_001014636	Rpb4	1.035
NM_001014637	Rpb4	1.168
NM_001014643	Stat92E	6.254
NM_001014644	CG7956	1.950
NM_001014646	CG33111	3.625
NM_001014647	jar	6.131
NM_001014648	jar	6.182
NM_001014649	jar	6.091
NM_001014650	jar	6.080
NM_001014651	slo	1.091
NM_001014652	slo	1.090
NM_001014653	slo	1.124
NM_001014654	slo	1.135
NM_001014655	slo	1.088
NM_001014656	slo	1.137
NM_001014657	slo	1.147
NM_001014658	slo	1.159
NM_001014659	slo	1.130
NM_001014660	slo	1.124
NM_001014661	slo	1.046
NM_001014662	slo	1.173
NM_001014663	slo	1.114
NM_001014664	slo	1.111
NM_001014665	Ssadh	6.064
NM_001014666	Ssadh	6.082
NM_001014667	Ssadh	6.073
NM_001014668	Nf1	-0.534
NM_001014669	scrib	5.193
NM_001014670	scrib	5.183
NM_001014671	Rb97D	3.054
NM_001014672	Rb97D	3.062
NM_001014673	Rb97D	3.050
NM_001014674	Rb97D	3.112
NM_001014675	Rb97D	3.122
NM_001014676	Rb97D	3.144
NM_001014677	Rb97D	3.108
NM_001014678	Doa	4.559
NM_001014679	Doa	4.174
NM_001014680	Doa	4.610
NM_001014681	Doa	3.236
NM_001014682	Doa	4.715
NM_001014684	Mgat2	0.956
NM_001014685	pan	1.920
NM_001014687	PMCA	4.162
NM_001014688	PMCA	4.207
NM_001014689	PMCA	4.286
NM_001014691	gw	4.644
NM_001014696	CaMKII	3.020
NM_001014702	CG33521	2.954
NM_001014703	CG33521	3.167
NM_001014705	CG33521	3.101
NM_001014707	ewg	1.707
NM_001014708	ewg	1.725
NM_001014709	ewg	1.518
NM_001014710	ewg	1.500
NM_001014711	ewg	1.534
NM_001014712	ewg	1.623
NM_001014720	norpA	1.305
NM_001014721	norpA	1.774
NM_001014722	peb	4.398
NM_001014723	Proc-R	0.451
NM_001014724	Proc-R	0.476
NM_001014725	Act5C	10.043
NM_001014726	Act5C	9.825
NM_001014728	l(1)G0232	4.171
NM_001014729	l(1)G0232	5.003
NM_001014731	CkIIbeta	4.264
NM_001014736	HDAC4	2.563
NM_001014737	up	7.052
NM_001014738	up	7.073
NM_001014739	up	7.108
NM_001014740	rdgB	0.039
NM_001014741	rdgB	0.750
NM_001014742	Top1	3.517
NM_001014745	Ac13E	1.920
NM_001014746	CG32576	2.358
NM_001014747	nonA	3.107
NM_001014750	mnb	2.095
NM_001014752	CoRest	2.333
NM_001014753	CoRest	2.312
NM_001014754	CoRest	1.257
NM_001014755	CoRest	1.011
NM_001014756	CoRest	1.234
NM_001031858	Caps	0.134
NM_001031859	Caps	0.112
NM_001031860	Caps	0.039
NM_001031861	tyn	-0.705
NM_001031862	trol	2.668
NM_001031863	trol	2.680
NM_001031864	trol	2.821
NM_001031865	trol	2.289
NM_001031866	trol	2.736
NM_001031867	trol	2.756
NM_001031869	CG15892	2.056
NM_001031877	CG3192	4.506
NM_001031878	Pink1	4.503
NM_001031879	Pink1	4.450
NM_001031880	Pink1	4.519
NM_001031881	Pink1	4.486
NM_001031882	Pink1	4.492
NM_001031883	Pink1	4.509
NM_001031887	CG33691	1.850
NM_001031888	CG33691	2.243
NM_001031889	CG33691	1.892
NM_001031891	Sxl	3.411
NM_001031892	Sxl	2.772
NM_001031893	Sxl	4.045
NM_001031894	Sxl	3.738
NM_001031895	Sxl	3.490
NM_001031897	mei-218	-0.470
NM_001031898	mei-217	-0.470
NM_001031900	Shawn	2.438
NM_001031901	Shawn	1.271
NM_001031902	Shawn	1.298
NM_001031903	Tim9b	2.242
NM_001031904	Tim9b	2.216
NM_001031907	Rpp20	3.033
NM_001031908	CG33932	3.033
NM_001031912	CG33714	4.219
NM_001031913	CG33714	4.158
NM_001031914	CG33713	4.158
NM_001031915	CG33713	4.219
NM_001031916	bbx	3.733
NM_001031917	bbx	3.302
NM_001031918	waw	3.304
NM_001031933	CG33232	5.993
NM_001031938	Pmi	2.110
NM_001031939	Pmi	2.229
NM_001031940	PGRP-LD	2.132
NM_001031941	PGRP-LD	2.229
NM_001031942	PGRP-LD	2.195
NM_001031943	Hsp22	3.652
NM_001031944	Hsp22	2.708
NM_001031945	Hsp67Bb	2.702
NM_001031947	CG33926	5.205
NM_001031964	AlCR2	-0.801
NM_001031967	kug	1.772
NM_001031977	l(3)82Fd	4.834
NM_001031978	l(3)82Fd	4.975
NM_001031980	Ada2b	4.009
NM_001031981	CG33722	2.027
NM_001031982	CG33722	3.001
NM_001031983	CG18749	2.027
NM_001031984	Pif1B	3.480
NM_001031985	Pif1B	3.475
NM_001031986	Pif1A	2.837
NM_001031987	Pif1A	3.475
NM_001031989	CG33936	4.627
NM_001031990	CG33936	4.565
NM_001031991	CG33936	5.338
NM_001031999	hth	1.434
NM_001032004	sea	5.461
NM_001032005	sea	6.753
NM_001032006	sea	5.626
NM_001032007	sea	5.599
NM_001032008	fabp	6.753
NM_001032009	fabp	8.113
NM_001032010	fabp	7.291
NM_001032012	CG10096	3.454
NM_001032015	primo-1	4.679
NM_001032016	primo-1	3.495
NM_001032017	primo-2	3.495
NM_001032019	srp	-0.656
NM_001032020	Prx5	5.142
NM_001032021	gukh	2.432
NM_001032032	how	1.527
NM_001032033	Myo95E	1.067
NM_001032035	Myo95E	1.584
NM_001032036	Myo95E	1.058
NM_001032037	Myo95E	1.566
NM_001032039	CG33095	2.446
NM_001032040	CG11891	11.019
NM_001032044	CG33635	2.556
NM_001032048	GlyP	4.848
NM_001032049	l(2)s5379	6.068
NM_001032050	CG9960	3.700
NM_001032054	Pp2A-29B	5.547
NM_001032055	Pp2A-29B	5.538
NM_001032056	Pp2A-29B	5.547
NM_001032059	mus201	1.336
NM_001032060	mus201	1.292
NM_001032061	mus201	1.272
NM_001032062	CG9515	4.623
NM_001032063	CG9510	5.320
NM_001032065	CG17768	2.509
NM_001032066	LSm-4	2.509
NM_001032073	Nos	0.128
NM_001032076	cana	2.920
NM_001032077	CG33695	1.284
NM_001032078	CG33695	1.097
NM_001032079	CG33695	1.116
NM_001032081	CG33695	1.090
NM_001032091	DNApol-gamma35	2.910
NM_001032092	CG33649	2.916
NM_001032095	Adh	7.755
NM_001032096	Adh	7.440
NM_001032097	Adh	6.726
NM_001032098	Adh	6.801
NM_001032099	Adh	7.718
NM_001032101	Adhr	6.726
NM_001032110	spi	3.291
NM_001032217	Df31	4.457
NM_001032223	CG33914	2.234
NM_001032224	Spn43Ab	3.403
NM_001032225	CG33774	3.727
NM_001032229	lola	3.583
NM_001032231	CG18003	1.873
NM_001032232	CG11919	1.873
NM_001032236	Dyb	1.987
NM_001032237	Dyb	2.023
NM_001032241	CG33671	3.503
NM_001032242	CG33672	3.503
NM_001032244	seq	0.687
NM_001032246	CG33155	3.703
NM_001032247	CG33155	4.227
NM_001032248	CG33155	4.069
NM_001032249	Zasp52	3.474
NM_001032250	Zasp52	4.278
NM_001032251	CG10731	1.024
NM_001032268	sm	0.784
NM_001032269	sm	0.782
NM_001032270	CG13430	0.966
NM_001032271	CG13430	1.070
NM_001032272	CG33785	2.028
NM_001032273	CG33786	2.028
NM_001032401	cp309	2.152
NM_001032402	cp309	1.249
NM_001032403	Neu3	2.341
NM_001032404	Neu3	1.812
NM_001032405	kay	7.085
NM_001032406	kay	7.799
NM_001032407	kay	7.436
NM_001032408	kay	7.474
NM_001038712	CG33978	-0.639
NM_001038713	RhoGAP102A	-0.510
NM_001038714	PMCA	4.258
NM_001038716	CG17471	4.382
NM_001038717	CG17471	4.334
NM_001038718	Mitf	4.323
NM_001038719	Mitf	3.977
NM_001038721	Dyrk3	3.118
NM_001038723	Dyrk3	3.120
NM_001038725	Dyrk3	2.891
NM_001038726	tyn	-0.684
NM_001038727	CG4293	0.852
NM_001038728	CG4293	1.147
NM_001038729	skpA	5.581
NM_001038731	pck	1.846
NM_001038732	Adar	1.377
NM_001038733	CG32803	1.563
NM_001038736	CG3091	6.040
NM_001038738	z	2.662
NM_001038739	mit(1)15	1.486
NM_001038746	sdt	2.312
NM_001038747	sdt	3.325
NM_001038750	CG34026	8.541
NM_001038752	Yippee	4.254
NM_001038753	CG11103	2.253
