transcript_name	Gene_name	RAL-280-Unchallenged
NM_001007095	CG42637	3.442
NM_001007096	CG42637	3.481
NM_001014453	PNUTS	3.631
NM_001014454	PNUTS	4.276
NM_001014455	PNUTS	4.318
NM_001014460	l(2)s5379	4.859
NM_001014461	CG9967	-0.765
NM_001014462	Rbp9	1.883
NM_001014463	tim	2.396
NM_001014464	for	3.616
NM_001014467	qtc	3.706
NM_001014468	qtc	3.741
NM_001014469	qtc	3.631
NM_001014475	nrv2	2.655
NM_001014476	nrv2	2.855
NM_001014477	ade3	1.888
NM_001014478	Rapgap1	1.167
NM_001014479	Rapgap1	1.397
NM_001014481	kuz	-0.349
NM_001014484	CG15279	3.205
NM_001014489	lectin-37Da	0.956
NM_001014490	lectin-37Db	8.413
NM_001014491	ref(2)P	7.188
NM_001014492	CG33511	-1.182
NM_001014493	CG33510	-2.373
NM_001014497	CG2225	-0.993
NM_001014498	CG1832	3.519
NM_001014499	Nipped-A	0.968
NM_001014500	mim	1.698
NM_001014503	lig	3.029
NM_001014504	CG30372	2.896
NM_001014505	coil	2.444
NM_001014506	coil	2.358
NM_001014507	Acsl	6.788
NM_001014508	Acsl	6.579
NM_001014509	Acsl	6.713
NM_001014510	Acsl	6.764
NM_001014511	Acsl	6.592
NM_001014512	Acsl	6.750
NM_001014513	stmA	3.535
NM_001014515	14-3-3zeta	8.314
NM_001014516	14-3-3zeta	8.429
NM_001014518	psq	1.650
NM_001014519	psq	1.572
NM_001014520	psq	1.296
NM_001014523	cnn	0.534
NM_001014524	Vmat	1.620
NM_001014525	Vmat	1.530
NM_001014526	Vmat	0.230
NM_001014527	Asx	0.375
NM_001014528	CG33506	3.368
NM_001014529	U3-55K	1.749
NM_001014535	CG15117	3.349
NM_001014536	ena	1.117
NM_001014537	ena	0.911
NM_001014538	CG10737	4.324
NM_001014539	par-1	0.689
NM_001014540	par-1	3.954
NM_001014542	par-1	4.203
NM_001014545	Unc-89	1.663
NM_001014546	CG4065	2.020
NM_001014547	Nop60B	4.484
NM_001014549	slik	3.757
NM_001014551	RpL41	11.861
NM_001014552	zip	4.131
NM_001014553	zip	4.147
NM_001014556	armi	1.090
NM_001014558	CG33514	6.677
NM_001014560	DopEcR	0.978
NM_001014561	Src64B	1.221
NM_001014562	Src64B	1.331
NM_001014563	Src64B	1.174
NM_001014564	Src64B	1.296
NM_001014565	vn	-1.425
NM_001014566	CG33523	5.269
NM_001014567	CG33523	5.375
NM_001014568	CG33523	5.346
NM_001014569	CG33523	5.250
NM_001014571	form3	1.243
NM_001014572	melt	1.757
NM_001014574	Clk	2.167
NM_001014576	Clk	2.172
NM_001014577	h	5.641
NM_001014579	Dhpr	3.962
NM_001014580	Dhpr	3.671
NM_001014581	GlcAT-P	2.285
NM_001014583	btl	-1.182
NM_001014584	RecQ5	2.263
NM_001014585	Dcp2	1.739
NM_001014586	fax	2.264
NM_001014587	fax	2.543
NM_001014588	tra	3.491
NM_001014589	scaf6	2.694
NM_001014590	Eip74EF	0.978
NM_001014591	Mi-2	2.762
NM_001014593	Pka-R1	3.463
NM_001014594	Pka-R1	3.541
NM_001014595	Pka-R1	3.468
NM_001014596	Pka-R1	3.536
NM_001014597	Pka-R1	3.555
NM_001014598	Pka-R1	3.443
NM_001014600	CG14457	4.171
NM_001014601	jim	3.091
NM_001014604	CG9795	2.062
NM_001014605	Gnf1	1.523
NM_001014606	CG1161	4.981
NM_001014607	CG14667	2.208
NM_001014608	7B2	2.657
NM_001014609	gfzf	2.459
NM_001014610	gfzf	2.089
