transcript_name	Gene_name	RAL-502-Challenged
NM_001007095	CG42637	2.867
NM_001007096	CG42637	2.905
NM_001014453	PNUTS	4.332
NM_001014454	PNUTS	4.126
NM_001014455	PNUTS	4.157
NM_001014460	l(2)s5379	6.277
NM_001014461	CG9967	0.998
NM_001014462	Rbp9	0.509
NM_001014463	tim	3.229
NM_001014464	for	3.985
NM_001014467	qtc	4.726
NM_001014468	qtc	4.768
NM_001014469	qtc	4.605
NM_001014475	nrv2	1.403
NM_001014476	nrv2	1.591
NM_001014477	ade3	1.710
NM_001014478	Rapgap1	2.848
NM_001014479	Rapgap1	3.099
NM_001014481	kuz	-1.043
NM_001014484	CG15279	1.993
NM_001014489	lectin-37Da	5.851
NM_001014490	lectin-37Db	8.588
NM_001014491	ref(2)P	7.398
NM_001014492	CG33511	3.322
NM_001014493	CG33510	4.013
NM_001014497	CG2225	-2.982
NM_001014498	CG1832	3.543
NM_001014499	Nipped-A	-0.226
NM_001014500	mim	-0.309
NM_001014503	lig	2.571
NM_001014504	CG30372	3.760
NM_001014505	coil	2.506
NM_001014506	coil	2.455
NM_001014507	Acsl	6.024
NM_001014508	Acsl	5.815
NM_001014509	Acsl	5.948
NM_001014510	Acsl	6.000
NM_001014511	Acsl	5.828
NM_001014512	Acsl	5.986
NM_001014513	stmA	4.312
NM_001014515	14-3-3zeta	8.565
NM_001014516	14-3-3zeta	8.529
NM_001014518	psq	0.831
NM_001014519	psq	0.746
NM_001014520	psq	0.463
NM_001014523	cnn	0.207
NM_001014524	Vmat	0.518
NM_001014525	Vmat	0.494
NM_001014526	Vmat	-0.980
NM_001014527	Asx	-0.219
NM_001014528	CG33506	3.084
NM_001014529	U3-55K	2.053
NM_001014535	CG15117	4.635
NM_001014536	ena	2.229
NM_001014537	ena	1.956
NM_001014538	CG10737	3.299
NM_001014539	par-1	0.840
NM_001014540	par-1	4.044
NM_001014542	par-1	4.474
NM_001014545	Unc-89	0.245
NM_001014546	CG4065	2.572
NM_001014547	Nop60B	3.992
NM_001014549	slik	3.899
NM_001014551	RpL41	12.115
NM_001014552	zip	6.018
NM_001014553	zip	6.031
NM_001014556	armi	0.681
NM_001014558	CG33514	6.053
NM_001014560	DopEcR	-1.744
NM_001014561	Src64B	-0.876
NM_001014562	Src64B	-0.743
NM_001014563	Src64B	-0.923
NM_001014564	Src64B	-0.801
NM_001014565	vn	-0.398
NM_001014566	CG33523	5.204
NM_001014567	CG33523	5.306
NM_001014568	CG33523	5.273
NM_001014569	CG33523	5.117
NM_001014571	form3	0.252
NM_001014572	melt	4.182
NM_001014574	Clk	0.517
NM_001014576	Clk	0.523
NM_001014577	h	5.226
NM_001014579	Dhpr	4.191
NM_001014580	Dhpr	3.853
NM_001014581	GlcAT-P	1.279
NM_001014583	btl	-0.971
NM_001014584	RecQ5	0.451
NM_001014585	Dcp2	-0.152
NM_001014586	fax	0.969
NM_001014587	fax	1.184
NM_001014588	tra	4.385
NM_001014589	scaf6	3.696
NM_001014590	Eip74EF	0.644
NM_001014591	Mi-2	2.569
NM_001014593	Pka-R1	3.734
NM_001014594	Pka-R1	3.788
NM_001014595	Pka-R1	3.732
NM_001014596	Pka-R1	3.831
NM_001014597	Pka-R1	3.848
NM_001014598	Pka-R1	3.735
